Wall time,Step,Value
1690616468.63397,50000,-11.25991439819336
1690616490.4999309,100000,-1.7593635320663452
1690616512.9567707,150000,5.209882736206055
1690616535.6009245,200000,8.082464218139648
1690616558.7591443,250000,20.433128356933594
1690616581.437816,300000,44.10652160644531
1690616601.9923258,350000,82.709228515625
1690616624.5724964,400000,118.12339782714844
1690616646.7374582,450000,157.3310089111328
1690616669.003953,500000,188.57858276367188
1690616691.2019706,550000,255.17129516601562
1690616713.2328558,600000,280.243408203125
1690616735.1292913,650000,383.8028869628906
1690616755.1006465,700000,464.6570129394531
1690616777.0221202,750000,613.427490234375
1690616798.7829387,800000,771.7135620117188
1690616820.5334992,850000,1022.2636108398438
1690616842.259254,900000,1438.252685546875
1690616863.848491,950000,2069.70068359375
1690616885.7443836,1000000,2387.325439453125
1690616905.4617302,1050000,3373.7890625
1690616927.1057012,1100000,4579.71630859375
1690616948.6766763,1150000,4783.8251953125
1690616970.215783,1200000,5179.6787109375
1690616991.71286,1250000,7579.80419921875
1690617013.5103452,1300000,9123.375
1690617033.087618,1350000,8702.6435546875
1690617054.6502066,1400000,10401.5302734375
1690617076.2665284,1450000,10153.732421875
1690617097.9087255,1500000,9426.45703125
1690617119.5597107,1550000,8723.2041015625
1690617141.204036,1600000,11715.1259765625
1690617162.8796134,1650000,10236.2841796875
1690617182.3321955,1700000,13399.578125
1690617203.9362342,1750000,12406.5009765625
1690617225.7208261,1800000,11343.03125
1690617247.2349737,1850000,13484.462890625
1690617268.788811,1900000,10193.0712890625
1690617290.4000866,1950000,12932.044921875
1690617311.915591,2000000,12160.990234375
1690617331.7247496,2050000,12107.5458984375
1690617353.2303004,2100000,11210.3447265625
1690617374.9159846,2150000,14035.7197265625
1690617396.429086,2200000,13361.998046875
1690617417.9595017,2250000,14705.8056640625
1690617439.5672333,2300000,12769.8076171875
1690617461.1975734,2350000,11716.6748046875
1690617480.840755,2400000,10720.7626953125
1690617502.4483318,2450000,10115.9404296875
1690617524.2017071,2500000,12359.0576171875
1690617545.7207055,2550000,12418.775390625
1690617567.2534926,2600000,12502.810546875
1690617588.965201,2650000,12520.1083984375
1690617610.483339,2700000,12807.38671875
1690617629.886642,2750000,13449.7294921875
1690617651.4710388,2800000,11524.9892578125
1690617673.1299794,2850000,11450.0576171875
1690617694.6733677,2900000,12737.6015625
1690617716.2753642,2950000,12477.240234375
1690617737.8626175,3000000,12076.6259765625
1690617757.483659,3050000,12912.62109375
1690617779.0899034,3100000,11894.79296875
1690617800.7256675,3150000,11902.8740234375
1690617822.347479,3200000,13370.7509765625
